date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
1/11/2016,98.53,113.2393,112.73545,1,0,500,0,49265,38180,87445,0.009058389,-0.12555
1/12/2016,99.96,112.8279,112.58495,1,0,500,0,49980,38180,88160,0.008176568,-0.1184
1/13/2016,97.39,112.3857,112.43235,0,-1,0,-500,0,86875,86875,-0.014575771,-0.13125
1/14/2016,99.52,111.9525,112.36995,0,0,0,0,0,86875,86875,0,-0.13125
1/15/2016,97.13,111.4437,112.31005,0,0,0,0,0,86875,86875,0,-0.13125
1/19/2016,96.66,110.9369,112.23925,0,0,0,0,0,86875,86875,0,-0.13125
1/20/2016,96.79,110.4543,112.11025,0,0,0,0,0,86875,86875,0,-0.13125
1/21/2016,96.3,109.9591,111.94405,0,0,0,0,0,86875,86875,0,-0.13125
1/22/2016,101.42,109.5761,111.82535,0,0,0,0,0,86875,86875,0,-0.13125
1/25/2016,99.44,109.2295,111.69215,0,0,0,0,0,86875,86875,0,-0.13125
1/26/2016,99.99,108.9071,111.61485,0,0,0,0,0,86875,86875,0,-0.13125
1/27/2016,93.42,108.4611,111.42565,0,0,0,0,0,86875,86875,0,-0.13125
1/28/2016,94.09,108.0961,111.26285,0,0,0,0,0,86875,86875,0,-0.13125
1/29/2016,97.34,107.7594,111.14355,0,0,0,0,0,86875,86875,0,-0.13125
2/1/2016,96.43,107.4142,110.98475,0,0,0,0,0,86875,86875,0,-0.13125
2/2/2016,94.48,106.958,110.82805,0,0,0,0,0,86875,86875,0,-0.13125
2/3/2016,96.35,106.5094,110.66585,0,0,0,0,0,86875,86875,0,-0.13125
2/4/2016,96.6,106.0554,110.48975,0,0,0,0,0,86875,86875,0,-0.13125
2/5/2016,94.02,105.5808,110.27685,0,0,0,0,0,86875,86875,0,-0.13125
2/8/2016,95.01,105.1034,110.06415,0,0,0,0,0,86875,86875,0,-0.13125
2/9/2016,94.99,104.6426,109.84995,0,0,0,0,0,86875,86875,0,-0.13125
2/10/2016,94.27,104.1718,109.65345,0,0,0,0,0,86875,86875,0,-0.13125
2/11/2016,93.7,103.6798,109.45595,0,0,0,0,0,86875,86875,0,-0.13125
2/12/2016,93.99,103.2128,109.24375,0,0,0,0,0,86875,86875,0,-0.13125
2/16/2016,96.64,102.82,109.07615,0,0,0,0,0,86875,86875,0,-0.13125
2/17/2016,98.12,102.4784,108.91415,0,0,0,0,0,86875,86875,0,-0.13125
