Date,Open,High,Low,Close,Adj Close,Volume
5/10/2018,9321.519531,9393.950195,9017.129883,9032.219727,9032.219727,629850604
5/11/2018,9032.219727,9032.269531,8363.5,8421,8421,1176888629
5/12/2018,8420.820313,8653.799805,8225.969727,8486.669922,8486.669922,783972252
5/13/2018,8488.070313,8773.959961,8350.910156,8709.459961,8709.459961,525395861
5/14/2018,8709.459961,8883,8312.719727,8672.900391,8672.900391,874543293
5/15/2018,8672.879883,8848.69043,8441.25,8480.160156,8480.160156,730739738
5/16/2018,8480.160156,8501.650391,8119.169922,8344.780273,8344.780273,789660713
5/17/2018,8342.69043,8476.450195,8015.77002,8071.040039,8071.040039,615539512
5/18/2018,8071.040039,8280.450195,7940.350098,8247.910156,8247.910156,558167598
5/19/2018,8247.910156,8397.269531,8160.799805,8249.240234,8249.240234,381458405
5/20/2018,8249.240234,8591.450195,8181.459961,8533,8533,418898289
5/21/2018,8533.219727,8585.849609,8347.879883,8419.650391,8419.650391,463653636
5/22/2018,8419.669922,8428.599609,7962.430176,7992.75,7992.75,543342369
5/23/2018,7992.75,8031.629883,7460.660156,7505.77002,7505.77002,934151146
5/24/2018,7505.77002,7729.47998,7283.77002,7584.740234,7584.740234,826278113
5/25/2018,7584.779785,7652.370117,7347.959961,7475.359863,7475.359863,634474356
5/26/2018,7475.359863,7626.689941,7314.709961,7355.060059,7355.060059,368322782
5/27/2018,7355.060059,7420.069824,7256.669922,7362.22998,7362.22998,341348321
5/28/2018,7362.22998,7455.549805,7092.910156,7118.879883,7118.879883,526854342
5/29/2018,7118.879883,7533.029785,7069.009766,7474.75,7474.75,634849312
5/30/2018,7474.75,7571.080078,7295.779785,7393.02002,7393.02002,505870974
5/31/2018,7393.02002,7608.870117,7349.52002,7502.149902,7502.149902,458223966
6/1/2018,7501.740234,7614.660156,7370.27002,7530.549805,7530.549805,458687659
6/2/2018,7530.549805,7697.339844,7467.790039,7643.259766,7643.259766,362414878
6/3/2018,7643.259766,7774.959961,7606.759766,7719.75,7719.75,332313005
6/4/2018,7719.72998,7760.72998,7469.209961,7503.200195,7503.200195,427448262
6/5/2018,7503.319824,7672.700195,7394.970215,7629.399902,7629.399902,440337235
6/6/2018,7629.399902,7701.350098,7504.97998,7661.790039,7661.790039,396116252
6/7/2018,7661.790039,7755.919922,7651.129883,7700.109863,7700.109863,342475552
6/8/2018,7700.399902,7709.609863,7559.5,7627.52002,7627.52002,310119047
6/9/2018,7627.560059,7691.740234,7495.720215,7513.689941,7513.689941,218013881
6/10/2018,7513.759766,7514.040039,6661.97998,6773.720215,6773.720215,895514425
6/11/2018,6773.720215,6913.850098,6652.890137,6887.370117,6887.370117,482788065
6/12/2018,6887.430176,6888.330078,6462.609863,6556.939941,6556.939941,509372466
